5494000:br<-icmp;getelementptr<-add;load<-getelementptr;add<-load;icmp<-add
4494000:getelementptr<-add;load<-getelementptr;add<-load;icmp<-add;br<-icmp
4488008:add<-load;icmp<-add;br<-icmp;zext<-add;getelementptr<-zext
4488008:zext<-add;getelementptr<-zext;getelementptr<-zext;load<-getelementptr;icmp<-load
4488008:br<-icmp;zext<-add;getelementptr<-zext;getelementptr<-zext;load<-getelementptr
4488008:getelementptr<-zext;getelementptr<-zext;load<-getelementptr;icmp<-load;br<-icmp
4488008:load<-getelementptr;add<-load;icmp<-add;br<-icmp;zext<-add
4488008:icmp<-add;br<-icmp;zext<-add;getelementptr<-zext;getelementptr<-zext
3269807:getelementptr<-zext;load<-getelementptr;icmp<-load;br<-icmp;add<-add
3269807:load<-getelementptr;icmp<-load;br<-icmp;add<-add;icmp<-add
3269807:icmp<-load;br<-icmp;add<-add;icmp<-add;br<-icmp
2996000:icmp<-add;br<-icmp;br<-icmp;getelementptr<-add;load<-getelementptr
2996000:br<-icmp;br<-icmp;getelementptr<-add;load<-getelementptr;add<-load
2996000:add<-add;icmp<-add;br<-icmp;br<-icmp;getelementptr<-add
2498000:icmp<-add;br<-icmp;getelementptr<-add;load<-getelementptr;add<-load
2187720:br<-icmp;add<-add;icmp<-add;br<-icmp;br<-icmp
1511492:icmp<-add;br<-icmp;add<-add;icmp<-add;br<-icmp
1503500:add<-add;icmp<-add;br<-icmp;add<-add;icmp<-add
1500000:add<-load;icmp<-add;zext<-add;icmp<-add;br<-icmp
1500000:getelementptr<-add;load<-getelementptr;add<-load;icmp<-add;zext<-add
